"","zipcode","total","information","professional","per"
"183",90631,17568,79,338,0.0237363387978142
"184",90637,111,NA,NA,NA
"185",90638,16355,76,505,0.0355243044940385
"186",90639,1704,NA,NA,NA
"187",90640,22540,94,403,0.0220496894409938
"188",90650,26733,137,574,0.0265963416002693
"189",90651,138,NA,NA,NA
"190",90652,20,NA,0,NA
"191",90660,16799,79,173,0.0150008929102923
"192",90661,3,NA,NA,NA
"193",90662,45,NA,NA,NA
"194",90670,52507,172,1136,0.0249109642523854
"195",90671,1,NA,NA,NA
"196",90701,9716,0,148,0.015232606010704
"197",90702,429,NA,0,NA
"198",90703,35541,848,1537,0.0671055963535072
"199",90704,2645,0,17,0.00642722117202268
"200",90706,16646,208,339,0.0328607473266851
"201",90707,74,NA,NA,NA
"202",90710,7907,27,251,0.0351587201214114
"203",90711,34,NA,NA,NA
"204",90712,11725,120,218,0.0288272921108742
"205",90713,4192,0,122,0.0291030534351145
"206",90714,756,NA,0,NA
"207",90715,1239,0,39,0.0314769975786925
"208",90716,3990,0,7,0.00175438596491228
"209",90717,4147,16,145,0.0388232457197974
"210",90723,17797,48,424,0.0265213238186211
"211",90731,11875,101,484,0.0492631578947368
"212",90732,3226,10,130,0.0433973961562306
"213",90733,56,NA,23,NA
"214",90734,28,NA,0,NA
"215",90744,12117,94,173,0.022035157217133
"216",90745,14136,21,505,0.037209960384833
"217",90746,18530,101,817,0.0495412844036697
"218",90747,2713,NA,NA,NA
"219",90748,613,NA,NA,NA
"220",90749,1258,NA,51,NA
"221",90755,13098,67,802,0.0663460070239731
"222",90801,608,0,47,0.0773026315789474
"223",90802,31629,399,2807,0.101362673495842
"224",90803,9730,101,489,0.0606372045220966
"225",90804,9495,0,617,0.0649815692469721
"226",90805,15102,0,191,0.0126473314792743
"227",90806,23113,140,1406,0.0668887638991044
